0.0303,0.0999,0.0254,151
0.0129,0.0424,0.01082,151
0.00176,0.00798,0.0021,176
0.0241,0.108,0.0284,175
0.0119,0.054,0.01426,176
0.00459,0.0208,0.0055,176
0.00244,0.0305,1.162,711
0,0.0267,0,1099
0.00258,0.0322,1.23,710
0.0209,0.0688,0.01748,151
0.0203,0.0682,0.01738,152
0.00595,0.0196,0.00502,151
0.0187,0.0616,0.01572,151
0.0484,0.16,0.0406,151
0.00862,0.034,0.00874,164
0.02225,0.0731,0.01876,151
0.0215,0.0707,0.01816,151
0.0744,0.2444,0.06268,115
0.0595,0.195,0.0502,144
0.0212,0.0834,0.0214,164
0.0132,0.0437,0.0444,151
0.0454,0.1801,0.0466,158
0.0123,0.0505,0.01298,167
0.01119,0.0493,0.01142,173
0.0252,0.117,0.0298,178
0.012,0.0394,0.0101,151
0.0183,0.0849,0.0216,177
0.0209,0.097,0.0246,178
0.0342,0.159,0.0404,178
0.0135,0.0492,0.0498,158
0.0156,0.08,0.0864,186
0,0.0382,0,768
0.0318,0.163,0.1764,177
0.01913,0.0855,0.0216,174
0.0237,0.0943,0.0238,165
0,0.0388,0,756
0.00431,0.0504,0.514,580
0.00799,0.086,0.908,340
0.0474,0.1563,0.0399,151
0.0108,0.0331,0.0083,146
0.0317,0.1153,0.1173,158
0.0298,0.0985,0.0251,151
0.0229,0.0755,0.01926,151
0.038,0.1244,0.03194,150
0.0752,0.247,0.0632,114
0.00224,0.0102,0.00268,176
0.011,0.0497,0.01318,175
0.0415,0.142,0.0366,154
0.00871,0.0268,0.00568,146
0.00256,0.0094,0.00984,159
0,0.0375,0,783
0.0321,0.106,0.027,151
0.0593,0.168,0.042,140
0.00464,0.054,0.422,542
0.0184,0.0605,0.01552,151
0.0145,0.0487,0.01222,152
0.0555,0.183,0.0466,151
0.041,0.135,0.0344,151
0.0608,0.2454,0.06068,117
0.0413,0.1681,0.04226,167
0.0224,0.0901,0.0224,166
0.04,0.1356,0.0332,153
0.038,0.127,0.0316,152
0.0601,0.189,0.0472,148
0.0191,0.0625,0.01604,150
0.0715,0.323,0.086,89
0.0715,0.323,0.086,89
0.0684,0.186,0.0444,138
0.0179,0.0505,0.01258,140
0.0267,0.0752,0.01874,140
0.0486,0.137,0.0342,140
0.0203,0.0588,0.01396,142
0.0405,0.1635,0.04058,166
0.0263,0.122,0.031,177
0.073,0.289,0.0738,99
0.0869,0.291,0.073,97
0.0169,0.0707,0.0202,169
0.00275,0.00955,0.00732,155
0.00488,0.0151,0.00374,146
0.0343,0.0966,0.0242,140
0.0474,0.134,0.0332,140
0.0343,0.0966,0.0242,140
0.0255,0.0719,0.01788,140
0.0503,0.2293,0.0598,125
0.0825,0.251,0.0569,112
0.0803,0.239,0.0536,117
0.04739,0.2158,0.05646,133
0.0317,0.145,0.0376,176
0.0328,0.15,0.0388,176
0.00264,0.0135,0.01456,186
0.0123,0.0561,0.01468,176
0.00824,0.0376,0.0098,176
0,0.0386,0,760
0.00172,0.02,0.216,687
0,0.0268,0,1095
0.00901,0.0986,1.046,297
0.00269,0.0302,0.38,675
0.018,0.0919,0.0248,186
0.018,0.0919,0.0248,186
0.0482,0.218,0.0578,132
0.0258,0.117,0.031,176
0,0.037,0,793
0.0224,0.1015,0.02682,176
0.00138,0.016,0.638,686
0.0844,0.2778,0.07092,102
0.0985,0.324,0.0828,87
0,0.037,0,793
0.03,0.127,0.122,170
0.00221,0.4115,0.10198,72
0.00882,0.0355,0.00878,166
0.0488,0.196,0.0488,146
0.0446,0.18,0.04444,159
0.00866,0.0454,0.01178,188
0.0401,0.1323,0.03368,151
0.0428,0.141,0.036,151
0.0405,0.122,0.124,145
0.0123,0.0406,0.01034,151
0.0444,0.148,0.0368,152
0.0309,0.101,0.1038,150
0.0601,0.1999,0.04978,141
0.00376,0.0124,0.01264,151
0.00546,0.0244,0.00648,174
0.017,0.0485,0.0472,141
0.0294,0.105,0.0228,157
0.0156,0.0704,0.0187,175
0.00175,0.0202,0.808,684
0,0.037,0,793
0.0298,0.0853,0.08174,141
0.0112,0.03665,0.03796,150
0.0625,0.132,0.0258,122
0.043,0.148,0.0348,154
0.0302,0.0641,0.01234,122
0.035,0.123,0.0276,156
0.02828,0.2074,0.0445,141
0.02,0.102,0.0276,186
0.0239,0.173,0.047,168
0.0139,0.0712,0.01934,186
0.0518,0.188,0.0528,151
0.0238,0.0997,0.106,169
0.0254,0.0836,0.0214,151
0.0099,0.0505,0.0548,186
0.0393,0.1581,0.0414,166
0.0387,0.1272,0.03268,151
0.0258,0.0848,0.0218,151
0.0481,0.158,0.0406,151
0.0223,0.0732,0.01876,151
0.0132,0.0434,0.0111,151
0.0356,0.182,0.0494,159
0.0162,0.053,0.0544,150
0.0269,0.0869,0.023,149
0.0183,0.0934,0.0254,186
0.0238,0.108,0.0286,176
0.0454,0.206,0.0546,140
0.0648,0.295,0.0472,98
0.0178,0.058,0.0604,150
0.0171,0.0547,0.01474,149
0.0173,0.0885,0.024,186
0.0397,0.179,0.0476,160
0.018,0.0813,0.0216,175
0.0277,0.1262,0.0328,176
0.0123,0.0559,0.01464,176
0.0246,0.112,0.0294,176
0.016,0.0525,0.0536,151
0.0451,0.204,0.0541,141
0.0466,0.1584,0.0407,153
0.0535,0.1625,0.0408,145
0.0605,0.229,0.062,124
0.00994,0.0378,0.00986,161
0.014,0.0547,0.01434,164
0.053,0.183,0.0472,154
0.0261,0.0703,0.01844,137
0.053,0.183,0.0472,154
0.0105,0.0288,0.0076,138
0.03906,0.1813,0.0461,159
0.0278,0.0762,0.0202,138
0.022,0.0755,0.02,154
0.0247,0.064,0.062,135
0.00913,0.0301,0.00768,151
0.0615,0.203,0.0518,139
0.0135,0.0612,0.01628,176
0.0164,0.0741,0.01972,175
0.0023,0.0104,0.00276,175
0.00034,0.00405,0.164,7218
0.0329,0.14,0.0358,170
0.0145,0.0481,0.01198,151
0.0164,0.0544,0.01356,151
