1,2
1,3
4,5
3,5
5,6
6,7
8,9
8,5
9,10
4,11
5,11
11,12
2,12
3,12
7,12
11,13
12,14
13,15
14,15
12,16
15,17
16,17
17,18
18,19
19,20
15,19
20,21
21,22
22,23
23,24
23,25
26,25
25,27
27,28
28,29
30,17
8,30
26,30
17,31
29,31
23,32
31,32
27,32
15,33
19,34
35,36
35,37
33,37
34,36
34,37
38,37
37,39
37,40
30,38
39,40
40,41
40,42
41,42
43,44
34,43
44,45
45,46
46,47
46,48
47,49
42,49
42,49
45,49
48,49
49,50
49,51
51,52
52,53
53,54
49,54
49,54
54,55
54,56
55,56
56,57
50,57
56,58
51,58
54,59
56,59
56,59
55,59
59,60
59,61
60,61
60,62
61,62
63,59
63,64
64,61
38,65
64,65
49,66
49,66
62,66
62,67
65,66
66,67
65,68
47,69
49,69
68,69
69,70
24,70
70,71
24,72
71,72
71,73
70,74
70,75
69,75
74,75
76,77
69,77
75,77
77,78
78,79
77,80
77,80
79,80
68,81
81,80
77,82
82,83
83,84
83,85
84,85
85,86
86,87
85,88
85,89
88,89
89,90
89,90
90,91
89,92
89,92
91,92
92,93
92,94
93,94
94,95
80,96
82,96
94,96
80,97
80,98
80,99
92,100
94,100
95,96
96,97
98,100
99,100
100,101
92,102
101,102
100,103
100,104
103,104
103,105
100,106
104,105
105,106
105,107
105,108
106,107
108,109
103,110
109,110
110,111
110,112
17,113
32,113
32,114
27,115
114,115
68,116
12,117
75,118
76,118
